Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45,No,Non-Travel,996,Human Resources,16,3,Life Sciences,1,63,1,Male,73,1,4,Human Resources,2,Divorced,15257,14320,7,Y,No,18,3,1,80,0,32,2,4,12,3,5,6
26,Yes,Travel_Frequently,1484,Human Resources,4,4,Life Sciences,1,64,2,Female,33,1,5,Sales Executive,1,Single,18347,3277,1,Y,Yes,21,3,2,80,1,13,4,4,4,10,4,1
30,Yes,Travel_Rarely,1487,Human Resources,27,4,Medical,1,65,4,Male,63,1,3,Human Resources,2,Single,18879,2425,2,Y,Yes,18,1,4,80,0,38,0,1,22,11,12,0
55,No,Non-Travel,729,Human Resources,20,2,Marketing,1,66,2,Female,70,2,2,Manufacturing Director,2,Married,19925,4654,4,Y,Yes,19,3,1,80,2,6,3,1,5,0,0,0
33,Yes,Travel_Frequently,138,Human Resources,12,4,Marketing,1,67,3,Male,60,3,1,Sales Executive,1,Single,14565,2035,6,Y,Yes,23,2,2,80,0,23,3,1,12,17,2,0
22,No,Travel_Rarely,1366,Human Resources,6,3,Other,1,68,4,Male,67,3,3,Healthcare Representative,1,Divorced,18167,17786,1,Y,No,20,2,1,80,1,28,0,4,2,8,10,2
35,No,Travel_Frequently,718,Human Resources,18,4,Marketing,1,69,4,Female,93,2,2,Human Resources,4,Single,6870,5173,5,Y,Yes,14,4,1,80,2,8,4,3,2,8,14,11
55,No,Non-Travel,1475,Sales,1,1,Medical,1,70,3,Female,90,3,3,Sales Executive,1,Single,7997,22769,2,Y,Yes,10,3,4,80,0,0,3,3,25,7,6,8
48,Yes,Non-Travel,1074,Sales,22,1,Other,1,71,1,Female,83,4,1,Sales Representative,3,Divorced,14077,17879,7,Y,Yes,24,4,4,80,3,21,2,3,17,3,7,11
29,No,Travel_Frequently,298,Human Resources,3,4,Marketing,1,72,1,Female,94,4,3,Human Resources,4,Married,6731,23658,0,Y,No,11,2,3,80,3,27,3,3,7,16,0,9
29,No,Travel_Rarely,1022,Sales,23,1,Medical,1,73,2,Female,89,4,5,Laboratory Technician,1,Single,14886,18314,8,Y,Yes,10,4,4,80,1,2,5,3,29,2,12,12
44,No,Travel_Rarely,760,Research & Development,21,1,Medical,1,74,4,Female,42,3,2,Manager,3,Married,4697,21354,0,Y,No,16,3,4,80,3,36,3,2,12,7,13,9
55,No,Non-Travel,773,Research & Development,11,1,Medical,1,75,1,Female,45,2,4,Manager,1,Divorced,3142,2607,1,Y,Yes,21,3,1,80,2,3,4,2,26,17,6,11
57,No,Non-Travel,228,Human Resources,13,3,Marketing,1,76,2,Male,66,1,1,Sales Executive,2,Single,19621,2821,1,Y,No,23,1,1,80,1,21,2,1,8,5,1,10
35,No,Non-Travel,649,Sales,2,2,Life Sciences,1,77,4,Male,47,3,4,Sales Executive,3,Married,8370,20149,7,Y,No,16,1,3,80,2,21,3,2,21,7,13,7
45,No,Travel_Rarely,1489,Human Resources,14,3,Life Sciences,1,78,3,Male,73,3,1,Manufacturing Director,4,Single,4575,10194,7,Y,No,24,2,2,80,2,12,2,2,22,6,5,8
19,No,Travel_Rarely,762,Research & Development,8,3,Other,1,79,4,Female,81,1,2,Sales Executive,4,Married,11467,6522,5,Y,No,19,1,2,80,3,7,3,1,14,18,8,12
37,No,Non-Travel,623,Sales,2,3,Other,1,80,4,Male,89,2,5,Manufacturing Director,2,Divorced,9909,16201,0,Y,Yes,14,3,3,80,0,21,4,2,17,9,4,5
44,No,Travel_Rarely,670,Human Resources,16,1,Marketing,1,81,3,Female,62,2,3,Human Resources,3,Divorced,7237,14554,8,Y,Yes,17,1,3,80,0,24,4,3,15,16,14,13
47,Yes,Travel_Rarely,782,Research & Development,16,3,Medical,1,82,4,Female,72,1,4,Human Resources,2,Married,16147,11928,0,Y,Yes,18,3,4,80,2,17,4,3,17,17,0,13
42,Yes,Travel_Rarely,926,Sales,3,2,Life Sciences,1,83,3,Female,68,2,3,Sales Executive,4,Married,5812,13771,2,Y,Yes,13,2,2,80,3,33,3,3,15,10,13,0
39,No,Travel_Frequently,952,Sales,16,1,Technical Degree,1,84,1,Male,32,4,1,Healthcare Representative,4,Divorced,14789,12798,9,Y,Yes,10,1,4,80,1,18,2,2,1,19,3,3
57,No,Travel_Frequently,185,Research & Development,7,2,Marketing,1,85,1,Female,52,4,5,Research Scientist,4,Divorced,13643,9630,4,Y,Yes,12,3,1,80,3,1,1,1,3,2,1,4
44,No,Travel_Frequently,926,Sales,16,2,Marketing,1,86,2,Female,41,4,3,Sales Executive,2,Single,11451,21701,8,Y,No,18,1,3,80,2,25,1,4,28,7,2,6
39,No,Travel_Frequently,613,Human Resources,8,3,Marketing,1,87,1,Male,77,3,1,Manufacturing Director,4,Married,7658,16301,4,Y,Yes,14,3,2,80,1,17,4,1,23,7,8,13
50,Yes,Non-Travel,537,Sales,2,2,Medical,1,88,1,Female,36,4,2,Healthcare Representative,3,Divorced,14662,8719,9,Y,Yes,16,2,1,80,2,33,3,4,27,10,4,12
45,Yes,Travel_Rarely,590,Research & Development,3,3,Life Sciences,1,89,3,Female,45,4,4,Manager,1,Married,5115,23952,8,Y,No,16,3,2,80,1,12,1,2,16,16,4,0
47,Yes,Non-Travel,856,Sales,1,2,Other,1,90,3,Female,51,1,5,Manufacturing Director,4,Single,8162,6395,2,Y,No,19,1,2,80,3,25,1,1,9,10,10,11
19,No,Non-Travel,1274,Research & Development,13,4,Marketing,1,91,2,Male,77,4,1,Manager,2,Divorced,12091,18147,5,Y,Yes,23,3,4,80,1,35,3,3,16,8,5,9
33,Yes,Travel_Frequently,872,Sales,2,3,Marketing,1,92,3,Female,86,1,2,Manager,4,Married,3749,22145,3,Y,No,14,3,1,80,1,35,0,2,11,15,14,7
58,No,Travel_Rarely,1053,Research & Development,7,3,Other,1,93,4,Female,30,1,4,Research Scientist,1,Single,6910,21974,9,Y,Yes,22,1,4,80,3,32,2,3,13,16,7,1
40,No,Non-Travel,1113,Sales,11,2,Other,1,94,3,Female,51,2,3,Sales Executive,2,Single,8461,5623,8,Y,No,12,1,1,80,2,24,2,2,2,16,5,7
53,No,Travel_Frequently,223,Human Resources,14,4,Marketing,1,95,4,Male,61,4,2,Healthcare Representative,4,Single,12678,15349,6,Y,No,11,3,3,80,2,6,2,2,8,13,3,7
59,Yes,Travel_Frequently,1439,Sales,7,3,Other,1,96,3,Male,80,3,2,Research Scientist,3,Married,4730,5257,7,Y,No,15,4,1,80,2,0,2,1,1,5,10,12
20,No,Non-Travel,1232,Research & Development,11,1,Marketing,1,97,2,Female,41,4,4,Human Resources,1,Single,16296,7737,8,Y,No,11,3,2,80,1,37,5,1,1,14,2,1
19,No,Travel_Frequently,934,Human Resources,5,4,Other,1,98,3,Male,66,2,5,Sales Representative,2,Divorced,1813,17016,2,Y,No,11,3,1,80,1,25,3,2,9,4,0,7
27,No,Non-Travel,169,Research & Development,22,3,Marketing,1,99,1,Female,63,3,2,Research Scientist,1,Single,6930,24918,9,Y,Yes,16,2,3,80,2,19,4,3,28,10,2,13
37,Yes,Non-Travel,708,Sales,18,3,Other,1,100,4,Female,46,4,4,Human Resources,2,Married,4212,12515,2,Y,No,16,3,3,80,2,8,3,1,20,6,4,11
18,Yes,Travel_Rarely,1326,Sales,27,4,Technical Degree,1,101,4,Male,57,3,4,Human Resources,1,Divorced,19296,3510,7,Y,Yes,24,2,1,80,1,37,2,2,27,16,5,13
43,Yes,Non-Travel,604,Research & Development,6,1,Other,1,102,3,Male,74,4,4,Manufacturing Director,1,Divorced,1838,18418,3,Y,No,22,3,3,80,1,20,2,4,14,6,6,0
37,Yes,Travel_Frequently,1288,Research & Development,3,3,Marketing,1,103,1,Female,58,3,2,Human Resources,1,Single,8400,5994,1,Y,No,16,2,4,80,2,9,5,1,0,11,6,7
36,Yes,Non-Travel,1275,Human Resources,25,2,Marketing,1,104,4,Male,89,4,5,Research Scientist,3,Divorced,19868,11262,9,Y,No,11,4,4,80,1,2,3,1,3,17,5,14
25,Yes,Travel_Rarely,650,Research & Development,9,3,Marketing,1,105,2,Male,77,2,2,Manager,1,Married,5269,21716,3,Y,No,20,1,1,80,0,14,4,4,28,15,6,8
26,No,Travel_Rarely,1435,Sales,18,1,Marketing,1,106,4,Female,50,4,1,Sales Representative,2,Married,5282,18237,4,Y,No,14,2,1,80,3,32,2,3,10,0,8,4
36,No,Travel_Frequently,798,Human Resources,21,1,Other,1,107,1,Female,38,3,5,Research Scientist,3,Married,15319,24838,3,Y,No,17,3,1,80,1,32,5,1,21,4,8,13
35,No,Non-Travel,825,Sales,14,4,Marketing,1,108,4,Female,90,1,1,Manager,2,Married,9439,10726,9,Y,No,22,1,2,80,0,38,0,1,20,9,8,6
25,No,Non-Travel,1352,Sales,26,1,Other,1,109,1,Female,96,4,2,Sales Representative,3,Divorced,17236,10851,7,Y,No,21,1,4,80,1,2,2,3,13,11,3,10
29,Yes,Travel_Frequently,602,Research & Development,6,2,Marketing,1,110,4,Male,46,3,1,Manufacturing Director,1,Married,17679,4914,0,Y,Yes,13,2,2,80,2,36,1,3,18,15,2,5
20,No,Travel_Frequently,1040,Sales,25,3,Medical,1,111,3,Male,54,1,1,Human Resources,4,Single,7974,17640,2,Y,Yes,17,1,3,80,1,36,5,4,29,7,4,9
47,No,Non-Travel,1083,Research & Development,26,2,Technical Degree,1,112,1,Male,99,3,3,Sales Representative,3,Married,13066,15983,6,Y,Yes,17,2,1,80,3,18,0,3,26,18,10,3
21,Yes,Travel_Frequently,1048,Sales,4,1,Other,1,113,1,Female,72,4,5,Manufacturing Director,4,Divorced,11663,2988,2,Y,Yes,20,2,1,80,1,38,3,1,6,6,0,11
52,No,Travel_Frequently,1249,Sales,28,1,Marketing,1,114,3,Male,57,4,5,Sales Representative,4,Married,10521,2112,2,Y,No,10,3,2,80,0,11,5,4,12,17,6,9
56,Yes,Travel_Frequently,811,Human Resources,6,3,Marketing,1,115,2,Female,32,4,5,Laboratory Technician,2,Married,15272,18140,1,Y,No,13,4,4,80,2,25,1,4,0,19,4,3
46,No,Travel_Rarely,394,Research & Development,19,3,Other,1,116,3,Female,66,1,3,Research Scientist,4,Single,8347,22586,0,Y,Yes,18,1,2,80,2,39,1,1,9,1,13,10
37,Yes,Travel_Rarely,579,Human Resources,12,2,Marketing,1,117,2,Female,50,2,4,Healthcare Representative,1,Divorced,9821,6339,2,Y,No,13,4,3,80,0,28,3,1,28,14,9,0
26,No,Travel_Rarely,1070,Sales,5,4,Marketing,1,118,1,Male,75,2,4,Human Resources,3,Married,7976,23409,4,Y,Yes,11,1,3,80,1,9,4,3,9,12,5,14
36,No,Non-Travel,823,Human Resources,20,1,Medical,1,119,1,Male,60,3,3,Human Resources,2,Divorced,9052,11832,6,Y,Yes,14,2,1,80,2,29,4,4,9,2,2,10
36,No,Non-Travel,1478,Research & Development,12,4,Life Sciences,1,120,4,Female,44,4,2,Manufacturing Director,3,Divorced,1657,5422,6,Y,Yes,20,4,3,80,3,33,5,2,11,7,8,12
52,Yes,Non-Travel,409,Research & Development,9,3,Marketing,1,121,2,Male,87,4,2,Research Scientist,4,Single,18731,21919,6,Y,Yes,11,1,3,80,2,10,2,3,7,8,7,1
19,No,Travel_Frequently,599,Human Resources,2,1,Medical,1,122,2,Male,95,1,3,Research Scientist,2,Divorced,1224,3183,4,Y,Yes,22,2,1,80,1,28,2,4,17,0,8,6
52,No,Travel_Rarely,927,Human Resources,14,1,Medical,1,123,3,Male,33,3,4,Manager,4,Married,17299,10546,3,Y,Yes,22,4,2,80,0,9,1,4,22,4,1,11
30,No,Travel_Rarely,1233,Research & Development,25,2,Other,1,124,2,Male,89,2,3,Laboratory Technician,1,Married,2066,15975,1,Y,Yes,14,2,4,80,0,39,0,2,21,17,4,1
47,No,Travel_Rarely,407,Research & Development,12,2,Life Sciences,1,125,2,Female,93,2,1,Manager,4,Divorced,1967,12913,4,Y,Yes,12,1,2,80,3,38,1,2,4,11,4,13
41,Yes,Travel_Frequently,665,Research & Development,1,2,Technical Degree,1,126,4,Female,86,3,2,Research Scientist,1,Single,18909,17858,8,Y,No,23,1,1,80,0,5,1,4,15,6,9,7
51,No,Travel_Frequently,923,Research & Development,2,4,Marketing,1,127,3,Female,41,4,4,Healthcare Representative,1,Married,1577,18676,5,Y,Yes,19,3,4,80,3,19,1,4,24,19,9,1
46,No,Travel_Rarely,1045,Research & Development,1,2,Medical,1,128,2,Female,38,4,3,Manager,4,Married,11269,15405,9,Y,No,12,2,1,80,0,28,4,3,14,14,4,14
48,Yes,Travel_Rarely,501,Human Resources,19,3,Marketing,1,129,3,Female,68,1,4,Sales Executive,2,Single,11494,15795,9,Y,Yes,13,2,4,80,0,29,1,2,26,11,1,2
29,Yes,Travel_Rarely,970,Research & Development,18,2,Marketing,1,130,4,Female,96,4,2,Laboratory Technician,3,Single,10891,21523,4,Y,Yes,14,2,2,80,1,3,4,4,15,11,3,6
41,Yes,Travel_Rarely,791,Research & Development,13,3,Marketing,1,131,3,Female,36,3,4,Sales Executive,1,Divorced,5804,15314,7,Y,No,13,1,1,80,2,24,1,4,29,13,2,10
23,No,Travel_Frequently,551,Research & Development,20,2,Life Sciences,1,132,1,Male,61,3,2,Research Scientist,4,Single,9971,2770,1,Y,No,10,4,1,80,3,32,2,4,27,18,3,12
27,Yes,Non-Travel,1316,Human Resources,17,4,Other,1,133,2,Female,97,4,5,Sales Representative,3,Single,1210,3705,8,Y,Yes,21,2,1,80,0,3,4,4,1,19,13,10
52,Yes,Travel_Rarely,1293,Research & Development,26,1,Marketing,1,134,1,Female,31,1,1,Research Scientist,3,Married,2878,3962,5,Y,Yes,17,1,1,80,0,8,1,2,29,5,11,13
57,Yes,Non-Travel,155,Research & Development,25,1,Life Sciences,1,135,4,Female,84,3,3,Sales Executive,3,Divorced,3264,12356,4,Y,Yes,23,1,1,80,2,37,3,2,22,3,9,0
32,No,Travel_Rarely,839,Research & Development,27,1,Other,1,136,2,Female,96,2,1,Manager,3,Married,3397,15276,1,Y,Yes,15,4,2,80,2,9,0,2,12,12,0,4
37,No,Travel_Frequently,158,Sales,16,1,Marketing,1,137,2,Female,50,3,5,Human Resources,1,Divorced,8458,2341,5,Y,No,13,4,3,80,2,8,1,2,19,6,10,3
38,No,Non-Travel,598,Sales,12,1,Life Sciences,1,138,4,Male,81,2,4,Laboratory Technician,4,Married,19511,3309,5,Y,Yes,17,4,4,80,3,12,1,4,10,15,14,10
38,Yes,Travel_Frequently,1134,Human Resources,19,3,Life Sciences,1,139,2,Male,70,4,3,Laboratory Technician,3,Single,4325,17200,4,Y,No,13,3,4,80,0,10,0,1,18,13,14,5
43,No,Travel_Rarely,819,Human Resources,10,3,Marketing,1,140,4,Male,53,4,3,Human Resources,3,Single,4455,21465,8,Y,Yes,20,2,1,80,1,32,5,1,24,4,10,2
