Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,No,Travel_Rarely,142,Human Resources,4,1,Medical,1,41,4,Male,69,4,1,Manufacturing Director,1,Divorced,13972,23767,3,Y,No,23,3,3,80,3,33,0,1,27,4,3,12
58,No,Travel_Rarely,270,Human Resources,3,4,Life Sciences,1,42,1,Female,73,2,5,Manufacturing Director,3,Married,18668,4443,6,Y,No,24,3,3,80,0,7,4,4,26,12,8,3
34,No,Travel_Rarely,1369,Research & Development,24,1,Other,1,43,4,Male,75,2,1,Manager,2,Divorced,15718,6056,1,Y,No,10,2,4,80,1,34,5,2,6,3,11,7
57,No,Non-Travel,622,Human Resources,14,1,Life Sciences,1,44,3,Female,46,2,5,Healthcare Representative,1,Married,6290,2851,9,Y,No,14,4,3,80,0,12,2,2,1,13,0,9
21,No,Travel_Rarely,495,Human Resources,18,1,Medical,1,45,2,Female,54,2,1,Manufacturing Director,2,Single,8704,5884,8,Y,No,22,4,4,80,2,32,3,1,21,6,3,5
36,Yes,Travel_Rarely,395,Sales,19,2,Medical,1,46,3,Male,51,1,5,Human Resources,1,Single,10126,6180,2,Y,No,24,3,1,80,3,24,0,1,29,14,5,10
39,No,Travel_Rarely,272,Research & Development,27,1,Life Sciences,1,47,1,Male,32,1,2,Sales Representative,2,Married,19358,10929,3,Y,No,18,4,3,80,1,37,4,3,1,10,14,10
21,Yes,Travel_Frequently,768,Sales,8,2,Life Sciences,1,48,2,Female,64,3,2,Human Resources,1,Single,2262,22964,6,Y,Yes,22,3,2,80,3,26,0,2,24,5,2,11
27,No,Travel_Rarely,571,Human Resources,29,4,Marketing,1,49,4,Female,53,2,4,Sales Executive,4,Divorced,4072,12267,9,Y,No,22,2,1,80,3,7,4,2,7,13,11,8
32,No,Non-Travel,554,Human Resources,5,2,Medical,1,50,3,Female,78,1,2,Research Scientist,3,Single,9448,15407,1,Y,No,15,2,3,80,2,0,5,2,26,18,11,4
31,Yes,Travel_Rarely,1144,Sales,6,3,Technical Degree,1,51,4,Male,53,4,2,Human Resources,1,Married,8169,14328,5,Y,No,13,3,1,80,0,30,4,2,28,16,7,12
52,Yes,Non-Travel,925,Sales,3,4,Technical Degree,1,52,2,Female,36,2,4,Research Scientist,3,Married,10654,11434,1,Y,Yes,24,4,1,80,1,4,2,3,28,16,3,3
48,Yes,Travel_Frequently,243,Human Resources,26,3,Medical,1,53,4,Female,40,3,4,Research Scientist,4,Divorced,15004,9966,2,Y,Yes,21,3,2,80,3,34,0,1,8,8,8,14
36,No,Non-Travel,487,Human Resources,21,2,Technical Degree,1,54,1,Female,97,3,1,Manufacturing Director,4,Married,16681,18786,5,Y,Yes,21,2,1,80,3,37,3,4,15,0,6,13
50,Yes,Non-Travel,932,Sales,16,3,Medical,1,55,1,Male,47,3,2,Manager,1,Married,13458,11440,8,Y,No,22,3,1,80,0,38,2,1,27,18,10,3
23,No,Travel_Frequently,525,Research & Development,20,4,Marketing,1,56,1,Male,93,3,1,Healthcare Representative,3,Divorced,4543,11335,4,Y,No,15,1,1,80,0,1,4,4,20,12,14,3
54,No,Travel_Rarely,693,Human Resources,9,3,Life Sciences,1,57,1,Female,89,2,4,Sales Executive,4,Married,1601,17850,8,Y,No,24,2,4,80,2,37,2,1,8,5,10,8
40,No,Travel_Rarely,166,Human Resources,26,2,Marketing,1,58,4,Male,65,2,1,Human Resources,4,Married,15904,18505,4,Y,Yes,12,3,4,80,3,8,2,4,12,15,11,10
23,Yes,Non-Travel,592,Human Resources,10,4,Life Sciences,1,59,4,Male,49,3,3,Sales Representative,1,Single,15391,7507,9,Y,No,22,2,2,80,2,8,0,3,29,16,11,5
18,No,Non-Travel,610,Human Resources,8,2,Marketing,1,60,4,Female,46,3,1,Laboratory Technician,1,Divorced,16624,23416,3,Y,No,10,4,1,80,3,17,1,1,4,0,3,4
51,No,Non-Travel,1201,Sales,26,4,Marketing,1,61,1,Male,62,2,5,Healthcare Representative,2,Single,17789,18894,4,Y,No,10,3,3,80,2,11,5,4,14,7,8,12
23,Yes,Travel_Rarely,1044,Sales,21,4,Medical,1,62,2,Male,63,1,4,Research Scientist,2,Divorced,8785,5118,0,Y,No,20,2,4,80,2,35,3,3,13,9,8,13
50,No,Travel_Rarely,1152,Sales,26,2,Technical Degree,1,63,2,Male,70,3,1,Sales Executive,3,Married,11247,18384,9,Y,Yes,20,3,3,80,3,8,2,4,12,10,7,4
43,No,Travel_Rarely,1395,Research & Development,17,1,Life Sciences,1,64,2,Male,64,4,5,Sales Executive,4,Divorced,7058,10539,3,Y,No,19,1,2,80,2,16,1,3,4,5,8,3
30,No,Travel_Frequently,159,Human Resources,13,1,Other,1,65,4,Male,94,1,4,Manager,4,Divorced,16436,18843,3,Y,No,16,1,2,80,2,39,5,3,12,17,13,4
46,No,Non-Travel,1115,Research & Development,2,2,Marketing,1,66,3,Female,42,3,2,Research Scientist,2,Single,10626,15266,5,Y,Yes,14,2,2,80,0,33,2,1,3,11,0,10
24,No,Travel_Frequently,755,Sales,23,1,Other,1,67,2,Female,39,3,2,Healthcare Representative,2,Divorced,13296,4396,6,Y,No,19,3,4,80,3,4,2,1,3,17,4,13
52,No,Travel_Frequently,1241,Human Resources,13,3,Other,1,68,4,Female,85,1,2,Manager,4,Single,15664,24326,8,Y,Yes,20,1,2,80,2,2,3,2,13,1,7,14
18,Yes,Travel_Rarely,1153,Sales,6,1,Marketing,1,69,4,Female,98,4,4,Sales Executive,2,Divorced,13123,24112,9,Y,Yes,24,1,3,80,3,19,0,3,26,9,14,3
38,Yes,Travel_Rarely,1069,Sales,20,3,Other,1,70,4,Male,33,4,5,Sales Executive,1,Married,5060,4391,0,Y,No,14,1,2,80,1,12,2,4,1,14,7,0
33,No,Travel_Frequently,1008,Sales,28,2,Marketing,1,71,2,Male,87,3,1,Sales Executive,3,Married,17023,11153,7,Y,No,20,2,2,80,0,32,1,1,4,18,5,6
26,No,Non-Travel,296,Sales,11,3,Other,1,72,3,Female,87,4,4,Healthcare Representative,2,Divorced,2396,9045,4,Y,No,24,2,4,80,0,31,3,2,29,0,12,10
28,No,Travel_Rarely,1300,Human Resources,13,2,Medical,1,73,4,Female,31,2,5,Manufacturing Director,4,Single,8635,20112,3,Y,Yes,12,2,3,80,2,6,2,2,11,7,9,5
33,No,Travel_Frequently,177,Sales,25,4,Other,1,74,2,Male,71,1,5,Manager,2,Single,8755,5225,3,Y,Yes,22,3,4,80,0,19,0,2,3,8,13,8
58,Yes,Travel_Rarely,596,Human Resources,23,2,Marketing,1,75,4,Female,36,2,1,Manufacturing Director,1,Divorced,2666,23062,5,Y,No,16,4,4,80,2,34,2,2,10,17,11,10
20,Yes,Non-Travel,1396,Human Resources,23,1,Marketing,1,76,3,Male,67,1,5,Human Resources,3,Divorced,7817,2558,6,Y,Yes,18,3,2,80,1,23,3,1,8,14,3,1
36,Yes,Travel_Frequently,505,Sales,3,2,Medical,1,77,4,Female,45,4,4,Research Scientist,2,Single,3308,22722,0,Y,Yes,15,4,3,80,3,5,2,4,7,8,12,14
56,No,Travel_Rarely,1421,Human Resources,21,1,Other,1,78,1,Female,98,2,5,Sales Representative,2,Divorced,9391,7268,3,Y,No,22,3,3,80,0,20,4,2,26,4,5,14
56,No,Travel_Rarely,614,Human Resources,14,1,Medical,1,79,2,Male,74,2,5,Sales Executive,1,Married,5957,9146,8,Y,No,18,3,1,80,0,1,1,4,12,17,14,1
26,No,Non-Travel,230,Human Resources,4,1,Marketing,1,80,2,Male,36,2,1,Research Scientist,4,Single,13826,16391,1,Y,No,12,1,4,80,0,13,3,4,20,12,12,12
29,No,Travel_Frequently,1177,Sales,2,3,Other,1,81,3,Male,35,3,4,Research Scientist,2,Married,12489,8802,9,Y,No,12,1,2,80,3,16,3,4,2,19,2,10
36,Yes,Travel_Rarely,647,Human Resources,19,2,Medical,1,82,3,Female,79,3,1,Manager,1,Single,17740,19027,6,Y,No,23,4,3,80,1,9,3,1,10,15,4,6
47,No,Non-Travel,990,Research & Development,11,1,Life Sciences,1,83,1,Female,32,3,1,Manager,3,Single,16044,10989,2,Y,No,11,2,3,80,1,21,5,1,18,15,4,10
36,No,Travel_Rarely,471,Human Resources,26,4,Marketing,1,84,3,Female,31,2,1,Laboratory Technician,4,Divorced,17213,19562,6,Y,No,20,2,3,80,0,38,5,4,13,4,3,6
33,Yes,Travel_Frequently,1321,Research & Development,1,4,Other,1,85,2,Female,63,2,2,Healthcare Representative,4,Married,14380,3679,6,Y,Yes,23,3,2,80,3,20,2,4,22,15,8,3
47,No,Non-Travel,1038,Research & Development,18,1,Life Sciences,1,86,2,Male,49,3,2,Human Resources,1,Single,4114,19527,4,Y,No,15,4,1,80,0,22,3,3,9,2,0,0
51,No,Travel_Frequently,847,Sales,20,4,Other,1,87,1,Male,45,1,2,Manager,2,Single,2906,4253,1,Y,Yes,12,4,2,80,3,22,4,4,19,19,1,9
36,No,Travel_Rarely,173,Sales,5,3,Marketing,1,88,2,Male,36,2,4,Sales Executive,2,Single,8205,10678,1,Y,No,14,1,1,80,2,17,2,3,8,14,10,11
18,Yes,Travel_Rarely,426,Research & Development,27,2,Technical Degree,1,89,2,Female,94,4,1,Healthcare Representative,1,Single,19793,3501,6,Y,Yes,22,3,2,80,1,35,5,1,17,11,1,3
37,No,Travel_Frequently,277,Human Resources,10,1,Marketing,1,90,3,Male,33,1,3,Healthcare Representative,3,Divorced,5155,24054,3,Y,Yes,10,2,2,80,1,9,5,2,18,15,7,8
59,No,Non-Travel,278,Sales,10,4,Medical,1,91,1,Female,54,3,1,Human Resources,3,Single,8063,5458,5,Y,No,19,1,2,80,2,21,1,4,6,0,9,3
59,Yes,Non-Travel,1247,Sales,27,3,Life Sciences,1,92,3,Female,64,3,2,Manufacturing Director,4,Married,4466,20407,0,Y,Yes,12,2,1,80,1,38,1,2,23,6,7,7
38,No,Travel_Rarely,626,Human Resources,2,1,Marketing,1,93,3,Male,70,1,5,Manager,4,Divorced,6163,19991,3,Y,No,16,1,4,80,2,32,5,3,26,13,4,5
49,No,Travel_Frequently,1296,Sales,13,2,Other,1,94,3,Male,42,4,1,Manufacturing Director,3,Married,9006,5071,7,Y,No,10,3,4,80,0,24,2,2,15,13,8,10
19,No,Travel_Frequently,726,Human Resources,14,3,Medical,1,95,1,Male,78,2,5,Sales Executive,2,Divorced,6308,5153,7,Y,No,12,2,3,80,1,22,1,4,3,4,5,9
24,No,Non-Travel,979,Human Resources,17,1,Medical,1,96,1,Male,80,4,4,Laboratory Technician,3,Divorced,5527,19925,8,Y,No,23,4,2,80,2,5,0,3,21,1,7,2
50,No,Travel_Rarely,269,Human Resources,25,1,Technical Degree,1,97,1,Male,56,3,5,Human Resources,4,Married,8467,5125,9,Y,No,17,4,3,80,0,3,5,4,23,16,13,10
59,No,Travel_Frequently,496,Human Resources,5,3,Other,1,98,1,Male,82,3,4,Sales Representative,3,Divorced,4224,23554,5,Y,Yes,19,4,4,80,2,7,5,1,21,11,7,3
24,No,Non-Travel,1146,Human Resources,26,1,Life Sciences,1,99,2,Male,78,2,4,Manager,4,Divorced,14846,18431,0,Y,No,11,4,2,80,3,20,2,1,9,17,0,5
35,No,Non-Travel,1200,Sales,9,1,Technical Degree,1,100,4,Male,73,3,4,Manager,2,Married,2859,19736,8,Y,No,11,4,4,80,3,22,1,1,24,15,9,3
34,No,Travel_Rarely,262,Research & Development,25,3,Technical Degree,1,101,1,Female,48,1,3,Laboratory Technician,4,Married,2646,17680,9,Y,No,20,2,3,80,3,14,3,3,16,15,4,1
43,No,Non-Travel,126,Research & Development,13,4,Technical Degree,1,102,2,Female,85,4,3,Manufacturing Director,3,Single,5821,15085,2,Y,Yes,14,3,3,80,2,30,5,3,25,6,11,13
32,No,Travel_Rarely,1268,Sales,19,2,Other,1,103,2,Male,94,2,2,Sales Representative,3,Single,19642,18285,4,Y,No,13,3,3,80,3,18,5,1,5,14,2,0
39,No,Non-Travel,458,Research & Development,10,3,Technical Degree,1,104,4,Male,61,4,2,Sales Executive,3,Divorced,17763,19274,1,Y,No,16,1,3,80,3,25,5,3,29,7,1,13
58,No,Travel_Rarely,1001,Sales,20,3,Other,1,105,1,Male,47,2,1,Sales Representative,2,Single,9091,17670,2,Y,No,14,1,3,80,1,32,5,2,24,1,0,7
47,No,Non-Travel,550,Sales,26,4,Life Sciences,1,106,2,Female,75,3,1,Sales Executive,3,Single,12146,21674,8,Y,No,14,4,1,80,0,12,0,4,9,4,9,12
58,No,Non-Travel,629,Human Resources,29,3,Other,1,107,2,Male,55,4,4,Healthcare Representative,3,Divorced,15572,13783,9,Y,No,14,3,4,80,3,28,3,3,18,18,4,4
43,No,Non-Travel,1400,Human Resources,11,4,Other,1,108,1,Male,96,1,1,Manager,2,Married,15039,6164,6,Y,No,15,2,2,80,3,21,1,4,21,8,12,14
31,No,Non-Travel,1370,Sales,20,2,Life Sciences,1,109,4,Female,47,2,2,Manufacturing Director,1,Divorced,19091,19861,2,Y,No,22,2,4,80,0,25,5,3,19,8,3,3
20,No,Travel_Frequently,132,Human Resources,20,4,Medical,1,110,4,Female,82,2,2,Sales Executive,1,Married,10020,5652,8,Y,Yes,20,2,4,80,1,22,0,3,6,8,6,11
18,No,Non-Travel,114,Research & Development,8,2,Technical Degree,1,111,4,Female,94,4,5,Sales Executive,4,Single,10047,19857,3,Y,Yes,11,1,1,80,0,17,1,1,25,17,5,13
33,Yes,Non-Travel,1067,Human Resources,23,2,Medical,1,112,2,Female,67,3,3,Research Scientist,1,Married,4317,16442,5,Y,No,24,3,3,80,2,16,2,3,0,0,14,9
30,Yes,Non-Travel,583,Sales,19,4,Technical Degree,1,113,1,Male,89,4,1,Manager,1,Divorced,8358,7078,1,Y,Yes,17,4,1,80,2,12,0,2,7,12,13,10
30,No,Travel_Frequently,568,Human Resources,16,4,Technical Degree,1,114,4,Male,87,3,3,Human Resources,1,Single,3141,7985,2,Y,No,17,3,4,80,2,37,3,1,27,4,9,6
39,No,Travel_Frequently,1475,Human Resources,24,1,Medical,1,115,2,Female,35,4,4,Healthcare Representative,3,Married,1081,22331,0,Y,No,24,2,1,80,3,26,1,2,29,7,4,9
41,No,Travel_Rarely,964,Human Resources,5,1,Technical Degree,1,116,1,Male,97,1,3,Human Resources,4,Married,16896,16246,9,Y,No,12,1,1,80,1,32,0,2,27,3,0,4
30,No,Non-Travel,563,Human Resources,8,3,Other,1,117,4,Male,35,3,4,Research Scientist,2,Single,8809,11038,4,Y,Yes,21,2,3,80,1,5,4,2,2,4,9,6
38,No,Travel_Rarely,1417,Research & Development,26,2,Other,1,118,4,Female,34,1,4,Manufacturing Director,1,Single,4260,20757,3,Y,Yes,13,4,2,80,3,15,2,1,10,7,11,12
59,No,Travel_Frequently,1370,Research & Development,11,1,Marketing,1,119,4,Male,67,4,5,Manager,3,Single,6642,4186,3,Y,Yes,21,4,3,80,1,29,3,3,6,4,14,11
27,No,Travel_Frequently,635,Sales,4,4,Technical Degree,1,120,4,Male,31,2,2,Manager,4,Married,8835,6760,0,Y,No,14,3,4,80,0,10,1,1,17,12,12,12
19,No,Non-Travel,1058,Research & Development,5,4,Marketing,1,121,1,Male,81,3,1,Research Scientist,4,Married,15034,2239,8,Y,No,13,4,2,80,3,8,0,2,29,19,13,5
45,No,Travel_Frequently,269,Sales,3,4,Medical,1,122,4,Female,89,3,3,Sales Representative,4,Divorced,15091,9973,3,Y,Yes,13,2,4,80,2,26,4,2,19,13,11,8
38,No,Non-Travel,781,Human Resources,8,4,Technical Degree,1,123,3,Male,30,2,2,Research Scientist,4,Married,10362,11962,4,Y,No,19,4,3,80,1,33,4,4,25,16,13,6
38,Yes,Travel_Rarely,512,Human Resources,21,4,Medical,1,124,3,Female,50,2,4,Research Scientist,1,Married,16879,14969,5,Y,Yes,20,4,2,80,3,27,4,2,18,13,13,14
21,No,Travel_Rarely,967,Sales,28,2,Marketing,1,125,4,Female,95,4,1,Research Scientist,3,Divorced,19334,18955,8,Y,No,19,1,1,80,2,10,0,3,15,17,8,11
37,No,Travel_Rarely,963,Human Resources,6,4,Medical,1,126,3,Male,48,3,3,Sales Executive,2,Single,4045,13006,7,Y,No,21,3,3,80,1,24,5,1,5,13,14,8
42,No,Non-Travel,329,Sales,7,3,Marketing,1,127,2,Male,56,3,4,Laboratory Technician,4,Divorced,2236,3126,9,Y,No,10,4,2,80,3,11,5,2,23,13,14,14
32,Yes,Travel_Rarely,1384,Sales,27,2,Marketing,1,128,2,Male,85,2,4,Sales Representative,4,Single,2881,5017,4,Y,Yes,10,1,3,80,1,2,5,4,10,11,10,12
45,No,Non-Travel,551,Sales,22,2,Medical,1,129,1,Female,88,4,4,Laboratory Technician,1,Divorced,16135,11290,7,Y,No,13,3,1,80,2,26,2,4,28,18,4,9
58,Yes,Non-Travel,386,Research & Development,17,3,Life Sciences,1,130,4,Female,87,3,3,Healthcare Representative,2,Single,1343,20623,3,Y,No,13,2,1,80,3,17,0,3,17,16,12,6
22,No,Travel_Frequently,269,Sales,6,1,Medical,1,131,2,Male,96,4,1,Sales Representative,1,Single,5851,5370,4,Y,No,24,1,3,80,2,22,2,3,25,12,13,9
38,No,Non-Travel,617,Sales,10,2,Technical Degree,1,132,4,Female,66,1,5,Human Resources,4,Single,9514,20995,7,Y,No,15,1,1,80,1,13,2,2,16,19,4,10
47,No,Non-Travel,1287,Sales,1,1,Life Sciences,1,133,1,Female,57,3,1,Laboratory Technician,4,Married,13227,24123,7,Y,No,18,2,4,80,3,5,5,2,24,19,13,6
45,No,Travel_Rarely,1110,Human Resources,10,1,Life Sciences,1,134,4,Male,77,3,1,Healthcare Representative,4,Married,3110,24617,2,Y,No,18,1,3,80,1,36,3,1,28,16,0,2
38,No,Non-Travel,222,Research & Development,3,3,Medical,1,135,2,Female,57,2,3,Research Scientist,2,Single,15341,23900,4,Y,Yes,22,1,2,80,0,25,5,3,19,16,0,10
22,Yes,Non-Travel,1373,Research & Development,17,2,Life Sciences,1,136,2,Female,95,3,3,Manufacturing Director,1,Divorced,16984,13246,5,Y,No,23,4,2,80,0,6,1,1,26,10,9,2
49,Yes,Travel_Rarely,1013,Sales,17,1,Life Sciences,1,137,2,Female,61,1,2,Human Resources,1,Single,19166,3762,3,Y,Yes,24,3,3,80,0,8,0,3,15,4,12,1
33,No,Travel_Frequently,628,Human Resources,21,3,Marketing,1,138,3,Male,67,1,3,Research Scientist,1,Divorced,2590,8234,3,Y,No,13,3,4,80,1,35,1,4,19,19,3,14
51,No,Travel_Rarely,1044,Human Resources,10,3,Medical,1,139,4,Male,71,3,3,Human Resources,1,Divorced,11342,15580,4,Y,No,24,4,1,80,2,19,1,3,17,7,4,9
23,Yes,Non-Travel,494,Human Resources,11,2,Life Sciences,1,140,3,Female,37,3,3,Sales Representative,1,Married,10392,19472,4,Y,Yes,23,3,4,80,0,35,2,1,18,10,5,4
30,No,Travel_Frequently,1324,Human Resources,10,3,Technical Degree,1,141,2,Female,30,1,5,Human Resources,3,Married,6328,10182,2,Y,No,12,4,1,80,1,8,1,1,27,1,2,6
